"COM","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"01072","0","CEYZERIAT","Ceyzériat","Ceyzériat","1943-01-01",""
"01073","0","CEYZERIEU","Ceyzérieu","Ceyzérieu","1943-01-01",""
"01074","0","CHALAMONT","Chalamont","Chalamont","1943-01-01",""
"01075","0","CHALEINS","Chaleins","Chaleins","1943-01-01",""
"01076","0","CHALEY","Chaley","Chaley","1943-01-01",""
"01077","0","CHALLES","Challes","Challes","1943-01-01","2006-07-09"
"01077","0","CHALLES LA MONTAGNE","Challes-la-Montagne","Challes-la-Montagne","2006-07-09",""
"01078","0","CHALLEX","Challex","Challex","1943-01-01",""
"01079","0","CHAMPAGNE","Champagne","Champagne","1943-01-01","1956-10-19"
"01079","0","CHAMPAGNE EN VALROMEY","Champagne-en-Valromey","Champagne-en-Valromey","1956-10-19",""
"01080","0","CHAMPDOR","Champdor","Champdor","1943-01-01","2016-01-01"
"01080","0","CHAMPDOR CORCELLES","Champdor-Corcelles","Champdor-Corcelles","2016-01-01",""
"01081","0","CHAMPFROMIER","Champfromier","Champfromier","1943-01-01",""
"01082","0","CHANAY","Chanay","Chanay","1943-01-01",""
"01083","0","CHANEINS","Chaneins","Chaneins","1943-01-01",""
"01084","0","CHANOZ CHATENAY","Chanoz-Châtenay","Chanoz-Châtenay","1943-01-01",""
"01085","3","CHAPELLE DU CHATELARD","Chapelle-du-Châtelard","La Chapelle-du-Châtelard","1943-01-01",""
"01086","0","CHARANCIN","Charancin","Charancin","1943-01-01","1974-01-01"
"01087","0","CHARIX","Charix","Charix","1943-01-01",""
"01088","0","CHARNOZ","Charnoz","Charnoz","1943-01-01","1991-03-21"
"01088","0","CHARNOZ SUR AIN","Charnoz-sur-Ain","Charnoz-sur-Ain","1991-03-21",""
"01089","0","CHATEAU GAILLARD","Château-Gaillard","Château-Gaillard","1943-01-01",""
"01090","0","CHATENAY","Châtenay","Châtenay","1943-01-01",""
"01091","0","CHATILLON DE MICHAILLE","Châtillon-de-Michaille","Châtillon-de-Michaille","1943-01-01","1973-11-01"
"01091","0","CHATILLON EN MICHAILLE","Châtillon-en-Michaille","Châtillon-en-Michaille","1973-11-01","2019-01-01"
